Name,Price
Impressora 3D CREALITY Ender-3 S1 Pro,"382,00"
Impressora 3D CREALITY Ender-3 V2 Neo,"666,99"
Impressora 3D ARTILLERY Artillery Hornet,"509,99"
Impressora 3D ARTILLERY Sidewinder X2,"259,95"
Impressora 3D CREALITY Ender-3 V2,"548,99"
Impressora 3D CREALITY Ender-3 S1,"182,99"
Impressora 3D KINGROON KP3S Aluminum Double Linear Guide Rails Double Cooling Fans Printing Space 180x180x180mm - EU Plug,"292,99"
Impressora 3D ZONESTAR Z9V5Pro MK4 4 Extruders 4 Color Mixing Auto Leveling 32 Bit Control Board Resume Printing,"299,99"
Impressora 3D CREALITY Ender-3 S1 Plus,"575,99"
Impressora KAIWEETS KT360A (3D),"376,99"
Impressora 3D ZONESTAR Z8PM4 Pro,"369,90"
Impressora 3D TRONXY XY-2 Pro Titan Titan Extruder Filament Runout Detection Ultra-Quiet Resume Printing 255x255x245mm,"489,90"
Impressora 3D LONGER Longer lk5 pro 300 X 300 X 400Mm,"311,00"
Impressora 3D CREALITY Ender 3,"598,99"
Impressora 3D QIDI TECHNOLOGY i Fast Dual Extruder Fast Printing 360x250x320mm Print Size,"191,99"
Impressora 3D ARTILLERY Genius Pro,"336,99"
Impressora 3D KINGROON Kp5l,"218,99"
Impressora 3D COLIDO X3045,"559,00"
Impressora 3D FLSUN Flsun-sr 260X330Mm,"945,99"
Impressora 3D XYZ da Vinci miniMaker - 3FM1XXEU00D (USB 2.0),"723,00"
Impressora 3D TWO TREES Sappheiros Plus,"423,93"
Impressora 3D XYZ Da Vinci Junio 1.0 Pro,"811,99"
Impressora 3D XYZPRINTING da Vinci 1.0 Pro,"588,99"
Impressora 3D KINGROON KP3S,"166,98"
"Impressora 3D Longer LK4 X Auto Leveling 0.1mm Accuracy 180mm/s Speed, Resume Printing 32-Bit Open Source 220x220x250mm","269,99"
Impressora 3D BLOCKS One MKII,"228,99"
Impressora 3D FLASHFORGE Finder 3,"419,99"
Impressora 3D FLASHFORGE Foto 6.0,"688,99"
Impressora 3D BRESSER Raptor 2010400,"231,99"
Impressora 3D CREALITY Ender3,"359,99"
Impressora 3D QIDI TECHNOLOGY X-MAX 5 Inch Touchscreen WiFi Function 300x250x300mm Print Size,"287,99"
Impressora 3D BQ Hephestos 2,"349,99"
Impressora 3D CREALITY Ender-3 I3,"628,99"
Impressora ANYCUBIC Kobra Plus (3D),"402,99"
Impressora 3D FLASHFORGE Adventurer 4,"269,99"
Impressora 3D XYZPRINTING da Vinci 2.0A Duo,"435,99"
Impressora 3D GEEETECH Geeetech Mizar FDM,"2435,99"
Impressora 3D FOKOOS Odin-5 f3-eu,"4176,99"
Verbatim 55318 Material para Impressão em 3D Ácido Polilático Pla Preto 1 kg,"2834,99"
Impressora 3D KINGROON Kp3S Pro,"298,99"
Impressora 3D GEMBIRD FF-3DP-1NA3-01,"541,99"
Impressora 3D LERDGE iX RTP Version,"363,99"
Impressora 3D LONGER Orange 4K,"299,99"
Impressora 3D CETUS3D Cetus2 Deluxe Version,"533,99"
Impressora 3D LERDGE iX RTP Version,"347,99"
Impressora 3D GEMBIRD FlashForge,"2495,83"
Impressora 3D ANET ET4 Pro,"2621,63"
Impressora 3D QIDI X-plus 2 270X200X200Mm,"469,99"
